reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
BitVise,DropBear,z3,9,0.1884596347808838,0.36133384704589844,0.06845513413506012,0.16666666666666666,0.04307334109429569,67,859,18,222,77,1044
BitVise,OpenSSH,cvc4,1,0.6812152862548828,0.8754715919494629,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,cvc4,10,0.6528880596160889,0.8579351902008057,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,cvc4,2,0.6413559913635254,0.8232741355895996,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,cvc4,3,0.647615909576416,0.8345866203308105,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,cvc4,4,1.0406525135040283,1.5578136444091797,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,cvc4,5,0.6754868030548096,0.8671770095825195,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,cvc4,6,0.6596884727478027,0.8792059421539307,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,cvc4,7,0.7129349708557129,1.0843510627746582,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,cvc4,8,0.6954436302185059,1.1813266277313232,0.23216601815823604,0.26207906295754024,0.20838183934807916,67,859,32,683,71,1363
BitVise,OpenSSH,cvc4,9,0.724560022354126,0.928990364074707,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,msat,1,0.37178707122802734,0.5784196853637695,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,msat,10,0.35979723930358887,0.5519051551818848,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
